table_id,table_name,reg_id,reg_name,ind_id,ind_name,reg_date,val
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2003-07-01T00:00:00,3882.0000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2003-10-01T00:00:00,4015.2000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2004-01-01T00:00:00,4271.5000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2004-04-01T00:00:00,4729.6000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2004-07-01T00:00:00,4882.0000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2004-10-01T00:00:00,4951.4000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2005-01-01T00:00:00,5192.0000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2005-04-01T00:00:00,5497.0000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2005-07-01T00:00:00,5878.3300
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2005-10-01T00:00:00,6041.6000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2006-01-01T00:00:00,6486.0000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2006-04-01T00:00:00,7546.0000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2001-01-01T00:00:00,4135.7000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2001-04-01T00:00:00,4135.7000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2001-07-01T00:00:00,5400.0000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2001-10-01T00:00:00,5418.2000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2002-01-01T00:00:00,5548.8000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2002-04-01T00:00:00,5817.8000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2002-07-01T00:00:00,6926.2000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2002-10-01T00:00:00,7109.5000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2003-01-01T00:00:00,8694.3000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2003-04-01T00:00:00,8251.5000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2003-07-01T00:00:00,9581.1000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2003-10-01T00:00:00,9214.2000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2004-01-01T00:00:00,11213.4000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2004-04-01T00:00:00,10615.5000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2004-07-01T00:00:00,11173.9000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2004-10-01T00:00:00,11261.1000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2005-01-01T00:00:00,12711.6000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2005-04-01T00:00:00,3875.6000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2005-07-01T00:00:00,4792.0000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2005-10-01T00:00:00,5100.9000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2006-01-01T00:00:00,6387.0000
Table10,Социальные индикаторы,16,Воронежская область,73,Среднедушевой денежный доход населения (руб.),2006-04-01T00:00:00,5410.3000
Table10,Социальные индикаторы,23,г.Москва,73,Среднедушевой денежный доход населения (руб.),2001-01-01T00:00:00,8530.1000
Table10,Социальные индикаторы,23,г.Москва,73,Среднедушевой денежный доход населения (руб.),2001-04-01T00:00:00,8550.3000
